Property_Type,Location,Price,Price_Currency,Total_Area_m2,Covered_Area_m2,Room_number,Bathroom_number,Expenses,Expenses_Currency
Departamento,"Villa Crespo, Capital Federal",133000,USD,60,59, 3, 1,15000,ARS
Departamento,"Olivos, Vicente Lopez, Buenos Aires",350000,USD,102.71,91.12, 3, 2,29637,ARS
Departamento,"Almagro, Capital Federal",81500,USD,40.4,32.1, 1, 1,1,ARS
Departamento,"Villa Luro, Capital Federal",80000,USD,58,55, 3, 1,15000,ARS
Departamento,"Caballito, Capital Federal",139900,USD,71,63, 3, 2,34000,USD
Departamento,"Villa Del Parque, Capital Federal",163000,USD,88.66,88.66, 4, 1,25000,ARS
Departamento,"Liniers, Capital Federal",55000,USD,51,45, 2, 1,8800,USD
Departamento,"Villa Gesell, Villa Gesell, Buenos Aires",32000,USD,28.5,27, 2, 1,4500,USD
Departamento,"Lujan De Cuyo, Lujan De Cuyo, Mendoza",40000,USD,56,56, 3, 1,N/A,N/A
Departamento,"Villa Santos Tesei, Hurlingham, Buenos Aires",39000,USD,104,81, 4, 1,200,ARS
Departamento,"Constitucion, Mar Del Plata, General Pueyrredon, Buenos Aires",199000,USD,93,82, 3, 2,1,ARS
Departamento,"Constitucion, Mar Del Plata, General Pueyrredon, Buenos Aires",165000,USD,90,82, 3, 2,1,ARS
Departamento,"Mar Del Plata, General Pueyrredon, Buenos Aires",67000,USD,90,80, 4, 1,N/A,N/A
Departamento,"Rincon De Milberg, Tigre, Buenos Aires",95000,USD,46.85,42.3, 2, 1,22500,ARS
Departamento,"Moreno, Moreno, Buenos Aires",50800,USD,57.4,47.06, 2, 1,2800,ARS
Departamento,"La Plata, La Plata, Buenos Aires",86400,USD,69,64, 2, 1,N/A,N/A
Departamento,"La Plata, La Plata, Buenos Aires",35000,USD,36,34, 2, 1,1800,ARS
Departamento,"La Plata, La Plata, Buenos Aires",59400,USD,48.5,44, 2, 1,N/A,N/A
Departamento,"La Plata, La Plata, Buenos Aires",350000,USD,195,150, 6, 3,15000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",38000,USD,99,36, 2, 1,2500,ARS
Departamento,"La Plata, La Plata, Buenos Aires",38000,USD,80,36, 2, 1,2500,ARS
Departamento,"La Plata, La Plata, Buenos Aires",75000,USD,43,38, 1, 1,4600,ARS
Departamento,"La Plata, La Plata, Buenos Aires",75000,USD,43,38, 1, 1,4600,ARS
Departamento,"La Plata, La Plata, Buenos Aires",35000,USD,34,34, 2, 1,2500,ARS
Departamento,"Lomas De Zamora, Lomas De Zamora, Buenos Aires",95000,USD,59.7,56, 3, 1,9000,ARS
Departamento,"La Paternal, Capital Federal",53000,USD,37,37, 2, 1,6000,ARS
Departamento,"San Nicolas De Los Arroyos, San Nicolas, Buenos Aires",42000,USD,36,36, 2, 1,N/A,N/A
Departamento,"Villa Lugano, Capital Federal",39000,USD,51,51, 3, 1,10500,USD
Departamento,"Caballito, Capital Federal",105000,USD,45,43, 2, 1,22400,ARS
Departamento,"Centro, Mar Del Plata, General Pueyrredon, Buenos Aires",85000,USD,64,52, 3, 1,11000,ARS
Departamento,"San Carlos, La Plata, Buenos Aires",61000,USD,147.6,72.72, 3, 2,N/A,N/A
Departamento,"Santos Lugares, Tres De Febrero, Buenos Aires",59900,USD,40,40, 2, 1,N/A,N/A
Departamento,"Parque Chacabuco, Capital Federal",42000,USD,32,31, 2, 1,12000,ARS
Departamento,"La Plata, La Plata, Buenos Aires",52000,USD,50,47, 2, 1,8600,ARS
Departamento,"Villa Nueva De Guaymallen, Guaymallen, Mendoza",48000,USD,100,100, 3, 2,N/A,N/A
Departamento,"Villa Nueva De Guaymallen, Guaymallen, Mendoza",40000,USD,65,65, 3, 1,N/A,N/A
Departamento,"Boedo, Capital Federal",155000,USD,94,90, 4, 2,17000,ARS
Departamento,"San Telmo, Capital Federal",119900,USD,71,65.49, 3, 1,31000,ARS
Departamento,"Belgrano C, Belgrano, Capital Federal",99500,USD,38.03,34.72, 1, 1,18200,ARS
Departamento,"Mar Del Plata, General Pueyrredon, Buenos Aires",87000,USD,69,65, 2, 1,15000,ARS
Departamento,"Caseros, Tres De Febrero, Buenos Aires",65000,USD,82.15,43, 2, 1,N/A,N/A
Departamento,"Martinez, San Isidro, Buenos Aires",95000,USD,55.7,47.34, 2, 1,4700,ARS
Departamento,"Villa Gesell, Villa Gesell, Buenos Aires",98000,USD,193.53,114.45, 4, 2,N/A,N/A
Departamento,"San Justo, La Matanza, Buenos Aires",52000,USD,65,65, 4, 1,8000,ARS
Departamento,"Recoleta, Capital Federal",62000,USD,39.84,34.87, 2, 1,7087,ARS
Departamento,"San Miguel, San Miguel, Buenos Aires",64000,USD,40.71,38.57, 2, 1,5000,ARS
Departamento,"Belgrano, Capital Federal",64000,USD,30,30, 2, 1,9000,ARS
Departamento,Capital Federal,94980,USD,37.37,34.43, 2, 1,13000,ARS
Departamento,"La Lucila, Vicente Lopez, Buenos Aires",120000,USD,50,49, 3, 1,7500,USD
Departamento,"Villa Lugano, Capital Federal",41000,USD,45,45, 2, 1,4700,ARS
Departamento,"La Plata, La Plata, Buenos Aires",78000,USD,71.3,61.5, 2, 1,N/A,N/A
Departamento,"Santos Lugares, Tres De Febrero, Buenos Aires",69500,USD,50.95,50.95, 3, 1,3800,ARS
Departamento,"Recoleta, Capital Federal",150000,USD,69,69, 3, 1,18000,USD
Departamento,"Godoy Cruz, Godoy Cruz, Mendoza",48000,USD,60,60, 2, 1,N/A,N/A
Departamento,"Godoy Cruz, Godoy Cruz, Mendoza",70000,USD,89,79, 3, 2,N/A,N/A
Departamento,"Santo Tome, Santa Fe Capital, Santa Fe",57750,USD,69,59, 3, 1,N/A,N/A
Departamento,"Santo Tome, Santa Fe Capital, Santa Fe",49250,USD,58,50, 3, 1,N/A,N/A
Departamento,"Balvanera, Capital Federal",70000,USD,44.95,44.95, 3, 1,3000,ARS
Departamento,"Bernal Este, Quilmes, Buenos Aires",83000,USD,49.5,45, 2, 1,6000,ARS
Departamento,"Berazategui, Berazategui, Buenos Aires",51000,USD,46,46, 2, 1,6000,ARS
Departamento,Capital Federal,225000,USD,137.88,130.66, 4, 2,27000,ARS
Departamento,"Recoleta, Capital Federal",300000,USD,158.35,133.85, 7, 4,28000,ARS
Departamento,"Villa Devoto, Capital Federal",79900,USD,35.61,30.72, 1, 1,N/A,N/A
Departamento,"Villa Devoto, Capital Federal",292000,USD,119.77,55.62, 3, 1,N/A,N/A
Departamento,"Saavedra, Capital Federal",97000,USD,89,77, 4, 1,N/A,N/A
Departamento,"Jesus Nazareno, Guaymallen, Mendoza",37000,USD,90,70, 4, 1,N/A,N/A
Departamento,"Parque Chacabuco, Capital Federal",230000,USD,165,145, 5, 3,35000,ARS
Departamento,"Villa Crespo, Capital Federal",53000,USD,43,38, 2, 1,12000,ARS
Departamento,"Villa Crespo, Capital Federal",170000,USD,87,49, 2, 2,N/A,N/A
Departamento,"Boedo, Capital Federal",123000,USD,77.87,69.35, 3, 2,N/A,N/A
Departamento,"Olivos, Vicente Lopez, Buenos Aires",159000,USD,59.25,45.6, 2, 1,N/A,N/A
Departamento,"La Boca, Capital Federal",120000,USD,125.5,60.5, 3, 1,11308,ARS
Departamento,"Balvanera, Capital Federal",77900,USD,54,54, 2, 1,2800,ARS
Departamento,Capital Federal,114900,USD,63,57, 3, 1,18700,ARS
Departamento,"Moron, Moron, Buenos Aires",49000,USD,40,31, 1, 1,N/A,N/A
Departamento,"Coghlan, Capital Federal",49000,USD,32.7,28.62, 1, 1,N/A,N/A
Departamento,"Coghlan, Capital Federal",45000,USD,32.7,28.62, 1, 1,N/A,N/A
Departamento,"Mar Del Plata, General Pueyrredon, Buenos Aires",19500,USD,39,39, 2, 1,3000,ARS
Departamento,"Parque Patricios, Capital Federal",69000,USD,67,60, 3, 1,18000,ARS
Departamento,Capital Federal,130197,USD,71.07,50.56, 2, 1,N/A,N/A
Departamento,"Villa Urquiza, Capital Federal",302000,USD,178,126, 4, 2,N/A,N/A
Departamento,"Colegiales, Capital Federal",135700,USD,73.02,59.45, 3, 2,N/A,N/A
Departamento,"Villa Ortuzar, Capital Federal",55864,USD,30,26, 1, 1,N/A,N/A
Departamento,Capital Federal,71116,USD,34,34, 1, 1,N/A,N/A
Departamento,"Belgrano R, Belgrano, Capital Federal",245000,USD,172.6,166.6, 4, 2,N/A,N/A
Departamento,"Parque Patricios, Capital Federal",49000,USD,31,31, 1, 1,N/A,N/A
Departamento,"Parque Patricios, Capital Federal",78000,USD,53,49.3, 2, 1,N/A,N/A
